"# Sensor Luktvassvegen, Mosjøen - Mussere, Norway (Citizen Science project sensor.community/82574)"
# https://aqicn.org/station/@411634/
# Daily pm25
"date,min,max,median,q1,q3,stdev,count"
"2023-12-22T00:00:00.000Z,0.05,4,0.9,0.5,1.48,0.66,581"
"2023-12-23T00:00:00.000Z,0.05,8.35,1.25,0.52,2.08,1.078,586"
"2023-12-24T00:00:00.000Z,0.15,5.3,1.38,1,1.9,0.854,569"
"2023-12-25T00:00:00.000Z,0.1,5.45,1.52,1,2.1,0.825,585"
"2023-12-26T00:00:00.000Z,0.1,3.13,1.35,1.08,1.8,0.506,514"
"2023-12-27T00:00:00.000Z,0.13,10.88,1,0.77,1.35,0.727,580"
"2023-12-28T00:00:00.000Z,0.1,11.2,0.73,0.5,1.02,0.718,585"
"2023-12-29T00:00:00.000Z,0,3.65,0.54,0.3,0.82,0.48,576"
"2023-12-30T00:00:00.000Z,0,3.08,1.2,0.6,1.52,0.579,590"
"2023-12-31T00:00:00.000Z,0.25,6.28,1.4,1.08,1.73,0.614,578"
"2024-01-01T00:00:00.000Z,0.4,3.45,1.42,1.12,1.75,0.483,581"
"2024-01-02T00:00:00.000Z,0,2.42,0.43,0.3,0.6,0.3,479"
"2024-01-03T00:00:00.000Z,0,2.88,0.45,0.25,0.65,0.353,570"
"2024-01-04T00:00:00.000Z,0,1.65,0.4,0.25,0.7,0.305,583"
"2024-01-05T00:00:00.000Z,0.28,2.78,1,0.82,1.2,0.308,575"
"2024-01-06T00:00:00.000Z,0.38,4.38,1.38,1.12,1.8,0.622,580"
"2024-01-07T00:00:00.000Z,0.08,11.45,0.7,0.5,0.98,1.024,580"
"2024-01-08T00:00:00.000Z,0,9.25,0.5,0.3,0.73,0.563,565"
"2024-01-09T00:00:00.000Z,0,7.7,0.32,0.1,0.75,0.628,578"
"2024-01-10T00:00:00.000Z,0,3.1,0.95,0.52,1.33,0.575,579"
"2024-01-11T00:00:00.000Z,0.17,2.9,1,0.7,1.38,0.45,580"
"2024-01-12T00:00:00.000Z,0,20.45,0.9,0.6,1.35,1.564,580"
"2024-01-13T00:00:00.000Z,0,11.2,0.5,0.2,1.63,1.373,582"
"2024-01-14T00:00:00.000Z,0,31.92,0.77,0.38,1.2,2.179,580"
"2024-01-29T00:00:00.000Z,0.55,25.08,2.38,1.69,3.1,1.744,589"
"2024-01-30T00:00:00.000Z,0.32,17.75,1.83,1.33,2.65,1.487,588"
"2024-01-31T00:00:00.000Z,0,26.48,0.47,0.3,0.73,1.616,587"
"2024-02-01T00:00:00.000Z,0,28.92,1.4,0.8,2.02,1.661,554"
"2024-02-02T00:00:00.000Z,0,21.08,0.6,0.3,1,1.432,536"
"2024-02-03T00:00:00.000Z,0,17.5,1.9,1,3,1.726,565"
"2024-02-04T00:00:00.000Z,0,28,0.88,0.6,1.2,2.147,570"
"2024-02-05T00:00:00.000Z,0,15.65,0.77,0.5,1.2,1.511,582"
"2024-02-06T00:00:00.000Z,0.03,15.63,0.85,0.55,1.2,0.869,583"
"2024-02-07T00:00:00.000Z,0,24.77,0.55,0.3,0.85,1.565,577"
"2024-02-08T00:00:00.000Z,0.05,27.85,0.5,0.35,0.68,1.784,549"
"2024-02-09T00:00:00.000Z,0,21.05,0.55,0.4,0.73,1.49,571"
"2024-02-10T00:00:00.000Z,0,11.68,0.47,0.3,0.7,0.98,577"
"2024-02-11T00:00:00.000Z,0.1,2.7,0.7,0.4,1.02,0.458,577"
"2024-02-12T00:00:00.000Z,0.4,11.85,1.35,1.1,1.6,0.925,574"
