date,pm25,pm10,city,suspect_spike
2023-11-09,19.0,7.0,tromso,False
2023-11-10,24.0,9.0,tromso,False
2023-11-11,28.0,5.0,tromso,False
2023-11-12,19.0,10.0,tromso,False
2023-11-13,32.0,6.0,tromso,False
2023-11-14,21.0,7.0,tromso,False
2023-11-15,24.0,5.0,tromso,False
2023-11-16,14.0,8.0,tromso,False
2023-11-17,23.0,5.0,tromso,False
2023-11-18,18.0,5.0,tromso,False
2023-11-19,18.0,7.0,tromso,False
2023-11-20,25.0,4.0,tromso,False
2023-11-21,12.0,8.0,tromso,False
2023-11-22,10.0,7.0,tromso,False
2023-11-23,21.0,10.0,tromso,False
2023-11-24,36.0,8.0,tromso,False
2023-11-25,27.0,8.0,tromso,False
2023-11-26,29.0,10.0,tromso,False
2023-11-27,36.0,11.0,tromso,False
2023-11-28,33.0,6.0,tromso,False
2023-11-29,17.0,7.0,tromso,False
2023-11-30,21.0,5.0,tromso,False
2023-12-01,18.0,7.0,tromso,False
2023-12-02,24.0,12.0,tromso,False
2023-12-03,38.0,5.0,tromso,False
2023-12-04,19.0,9.0,tromso,False
2023-12-05,29.0,6.0,tromso,False
2023-12-06,18.0,8.0,tromso,False
2023-12-07,20.0,7.0,tromso,False
2023-12-08,17.0,9.0,tromso,False
2023-12-09,20.0,10.0,tromso,False
2023-12-10,20.0,9.0,tromso,False
2023-12-11,25.0,10.0,tromso,False
2023-12-12,30.0,5.0,tromso,False
2023-12-13,17.0,10.0,tromso,False
2023-12-14,23.0,9.0,tromso,False
2023-12-15,19.0,4.0,tromso,False
2023-12-16,13.0,8.0,tromso,False
2023-12-17,22.0,6.0,tromso,False
2023-12-18,17.0,6.0,tromso,False
2023-12-19,18.0,5.0,tromso,False
2023-12-20,17.0,8.0,tromso,False
2023-12-21,22.0,12.0,tromso,False
2023-12-22,34.0,13.0,tromso,False
2023-12-23,40.0,6.0,tromso,False
2023-12-24,20.0,10.0,tromso,False
2023-12-25,36.0,5.0,tromso,False
2023-12-26,17.0,6.0,tromso,False
2023-12-27,21.0,5.0,tromso,False
2023-12-28,19.0,9.0,tromso,False
2023-12-29,29.0,11.0,tromso,False
2023-12-30,30.0,8.0,tromso,False
2023-12-31,26.0,14.0,tromso,False
2023-07-01,23.0,10.0,tromso,False
2023-07-02,12.0,9.0,tromso,False
2023-07-03,15.0,23.0,tromso,False
2023-07-04,32.0,19.0,tromso,False
2023-07-05,30.0,13.0,tromso,False
2023-07-06,21.0,22.0,tromso,False
2023-07-07,31.0,15.0,tromso,False
2023-07-08,33.0,8.0,tromso,False
2023-07-09,19.0,14.0,tromso,False
2023-07-10,26.0,25.0,tromso,False
2023-07-11,39.0,26.0,tromso,False
2023-07-12,36.0,19.0,tromso,False
2023-07-13,35.0,14.0,tromso,False
2023-07-14,27.0,9.0,tromso,False
2023-07-15,23.0,8.0,tromso,False
2023-07-16,19.0,9.0,tromso,False
2023-07-17,17.0,7.0,tromso,False
2023-07-18,19.0,7.0,tromso,False
2023-07-19,15.0,9.0,tromso,False
2023-07-20,19.0,11.0,tromso,False
2023-07-21,24.0,11.0,tromso,False
2023-07-22,24.0,8.0,tromso,False
2023-07-23,19.0,13.0,tromso,False
2023-07-24,28.0,12.0,tromso,False
2023-07-25,28.0,14.0,tromso,False
2023-07-26,28.0,17.0,tromso,False
2023-07-27,29.0,7.0,tromso,False
2023-07-28,16.0,5.0,tromso,False
2023-07-29,12.0,7.0,tromso,False
2023-07-30,17.0,17.0,tromso,False
2023-07-31,29.0,15.0,tromso,False
2023-08-01,26.0,13.0,tromso,False
2023-08-02,24.0,12.0,tromso,False
2023-08-03,23.0,13.0,tromso,False
2023-08-04,24.0,9.0,tromso,False
2023-08-05,19.0,11.0,tromso,False
2023-08-06,21.0,15.0,tromso,False
2023-08-07,24.0,21.0,tromso,False
2023-08-08,43.0,16.0,tromso,False
2023-08-09,33.0,15.0,tromso,False
2023-08-10,26.0,8.0,tromso,False
2023-08-11,20.0,10.0,tromso,False
2023-08-12,22.0,13.0,tromso,False
2023-08-13,26.0,14.0,tromso,False
2023-08-14,27.0,9.0,tromso,False
2023-08-15,22.0,7.0,tromso,False
2023-08-16,14.0,10.0,tromso,False
2023-08-17,19.0,9.0,tromso,False
2023-08-18,18.0,7.0,tromso,False
2023-08-19,14.0,9.0,tromso,False
2023-08-20,17.0,22.0,tromso,False
2023-08-21,33.0,12.0,tromso,False
2023-08-22,29.0,14.0,tromso,False
2023-08-23,22.0,12.0,tromso,False
2023-08-24,20.0,11.0,tromso,False
2023-08-25,21.0,8.0,tromso,False
2023-08-26,21.0,7.0,tromso,False
2023-08-27,16.0,16.0,tromso,False
2023-08-28,23.0,11.0,tromso,False
2023-08-29,30.0,11.0,tromso,False
2023-08-30,22.0,12.0,tromso,False
2023-08-31,22.0,13.0,tromso,False
2023-09-01,23.0,8.0,tromso,False
2023-09-02,17.0,8.0,tromso,False
2023-09-03,16.0,9.0,tromso,False
2023-09-04,27.0,9.0,tromso,False
2023-09-05,23.0,7.0,tromso,False
2023-09-06,18.0,10.0,tromso,False
2023-09-07,16.0,8.0,tromso,False
2023-09-08,14.0,7.0,tromso,False
2023-09-09,18.0,11.0,tromso,False
2023-09-10,23.0,7.0,tromso,False
2023-09-11,11.0,8.0,tromso,False
2023-09-12,18.0,7.0,tromso,False
2023-09-13,17.0,6.0,tromso,False
2023-09-14,16.0,16.0,tromso,False
2023-09-15,20.0,9.0,tromso,False
2023-09-16,18.0,5.0,tromso,False
2023-09-17,16.0,4.0,tromso,False
2023-09-18,11.0,10.0,tromso,False
2023-09-19,11.0,14.0,tromso,False
2023-09-20,20.0,14.0,tromso,False
2023-09-21,22.0,10.0,tromso,False
2023-09-22,14.0,5.0,tromso,False
2023-09-23,15.0,8.0,tromso,False
2023-09-24,17.0,8.0,tromso,False
2023-09-25,12.0,6.0,tromso,False
